Date,Open,High,Low,Close,Adj Close,Volume
1997-06-18,26.125,26.875,26.125,26.75,9.286158561706543,7918300
1997-06-19,26.875,27.0,26.5,26.625,9.242767333984375,1472400
1997-06-20,26.75,26.75,26.25,26.375,9.155977249145508,1030200
1997-06-23,26.375,26.375,26.125,26.125,9.069192886352539,628900
1997-06-24,26.1875,26.25,26.0625,26.0625,9.04749584197998,541800
1997-06-25,26.25,26.5625,26.25,26.4375,9.1776762008667,570500
1997-06-26,26.75,27.0,26.5625,27.0,9.372943878173828,488700
1997-06-27,27.0,27.125,26.75,26.875,9.329553604125977,586400
1997-06-30,26.8125,27.5,26.25,27.25,9.45973014831543,629800
1997-07-01,27.125,27.125,26.625,26.625,9.242767333984375,269700
1997-07-02,26.375,26.625,26.375,26.375,9.155977249145508,350800
1997-07-03,26.4375,26.75,26.4375,26.625,9.242767333984375,173000
1997-07-07,26.875,26.9375,26.5,26.75,9.286158561706543,449500
1997-07-08,26.6875,26.875,26.625,26.6875,9.26446533203125,239400
1997-07-09,26.625,26.6875,26.5,26.5625,9.221065521240234,226000
1997-07-10,26.5,26.5,26.3125,26.375,9.155977249145508,425100
1997-07-11,26.375,26.5,26.3125,26.4375,9.1776762008667,326300
1997-07-14,26.6875,27.1875,26.625,26.75,9.286158561706543,311000
1997-07-15,26.9375,26.9375,26.5625,26.6875,9.26446533203125,534400
1997-07-16,26.6875,27.0,26.625,26.875,9.329553604125977,443700
1997-07-17,26.9375,27.1875,26.9375,27.0625,9.394641876220703,443800
1997-07-18,27.0,27.0625,26.375,26.625,9.242767333984375,359600
1997-07-21,26.375,26.875,26.25,26.8125,9.307856559753418,422700
1997-07-22,26.8125,26.9375,26.75,26.8125,9.307856559753418,246500
1997-07-23,26.9375,26.9375,26.8125,26.8125,9.307856559753418,196900
1997-07-24,26.9375,27.125,26.75,27.0625,9.394641876220703,481800
1997-07-25,27.1875,27.375,27.125,27.3125,9.481427192687988,225800
1997-07-28,27.1875,27.375,27.0,27.3125,9.481427192687988,127600
1997-07-29,27.25,27.5625,27.1875,27.4375,9.524823188781738,350200
1997-07-30,27.4375,27.625,27.0,27.5625,9.568218231201172,126600
1997-07-31,27.5625,28.0,27.5,27.875,9.6766996383667,203500
1997-08-01,27.9375,27.9375,27.25,27.875,9.6766996383667,85200
1997-08-04,27.9375,28.0,27.1875,27.875,9.6766996383667,115600
1997-08-05,27.6875,28.3125,27.5625,28.125,9.763489723205566,152900
1997-08-06,28.0,29.375,27.9375,29.375,10.197421073913574,234900
1997-08-07,29.3125,29.375,29.25,29.25,10.154022216796875,358900
1997-08-08,29.0,29.0,28.0,29.0,10.067242622375488,387300
1997-08-11,28.875,28.9375,27.625,28.1875,9.785181999206543,164700
1997-08-12,28.25,28.375,27.9375,27.9375,9.698400497436523,437100
1997-08-13,28.0,28.25,27.5,27.6875,9.611608505249023,323000
1997-08-14,27.5625,27.75,27.5,27.5,9.546514511108398,89800
