Date,Open,High,Low,Close,Adj Close,Volume
1996-03-08,6.5,6.6875,6.5,6.6875,4.219633102416992,54000
1996-03-11,6.875,6.875,6.875,6.875,4.33793830871582,400
1996-03-12,6.875,6.875,6.875,6.875,4.33793830871582,0
1996-03-13,6.8125,6.8125,6.8125,6.8125,4.298502445220947,10000
1996-03-14,6.875,6.875,6.875,6.875,4.33793830871582,10200
1996-03-15,6.875,6.875,6.875,6.875,4.33793830871582,0
1996-03-18,6.875,6.875,6.875,6.875,4.33793830871582,0
1996-03-19,7.0,7.0,7.0,7.0,4.416812419891357,2400
1996-03-20,7.0,7.0625,7.0,7.0625,4.456246376037598,9600
1996-03-21,7.25,7.25,7.25,7.25,4.574554443359375,2000
1996-03-22,7.25,7.25,7.25,7.25,4.574554443359375,0
1996-03-25,7.375,7.375,7.375,7.375,4.653427600860596,2000
1996-03-26,7.375,7.375,7.25,7.375,4.653427600860596,11600
1996-03-27,7.3125,7.3125,7.125,7.3125,4.613990783691406,56000
1996-03-28,7.3125,7.3125,7.3125,7.3125,4.613990783691406,0
1996-03-29,7.3125,7.3125,7.3125,7.3125,4.613990783691406,2200
1996-04-01,7.3125,7.3125,7.125,7.25,4.574554443359375,230000
1996-04-02,7.25,7.25,7.25,7.25,4.574554443359375,0
1996-04-03,7.0625,7.0625,7.0625,7.0625,4.456246376037598,3600
1996-04-04,6.875,6.875,6.875,6.875,4.755552768707275,1600
1996-04-08,6.875,6.875,6.875,6.875,4.755552768707275,0
1996-04-09,6.875,6.875,6.875,6.875,4.755552768707275,0
1996-04-10,6.875,6.875,6.875,6.875,4.755552768707275,0
1996-04-11,6.9375,6.9375,6.9375,6.9375,4.798786640167236,4000
1996-04-12,6.9375,6.9375,6.9375,6.9375,4.798786640167236,0
1996-04-15,6.875,6.875,6.875,6.875,4.755552768707275,600
1996-04-16,6.875,7.0625,6.5625,6.5625,4.539391040802002,172600
1996-04-17,6.5625,6.75,6.4375,6.75,4.669088840484619,166600
1996-04-18,6.5625,6.5625,6.5625,6.5625,4.539391040802002,74000
1996-04-19,6.75,6.8125,6.75,6.8125,4.712320804595947,50000
1996-04-22,6.8125,6.8125,6.8125,6.8125,4.712320804595947,0
1996-04-23,6.8125,6.8125,6.8125,6.8125,4.712320804595947,0
1996-04-24,7.3125,7.3125,7.3125,7.3125,5.058180332183838,30000
1996-04-25,7.5,7.5,7.5,7.5,5.187876224517822,21000
1996-04-26,7.5,7.5,7.4375,7.4375,5.144644737243652,22000
1996-04-29,7.4375,7.4375,7.4375,7.4375,5.144644737243652,0
1996-04-30,7.4375,7.75,7.375,7.75,5.360805988311768,155600
1996-05-01,7.75,7.75,7.75,7.75,5.360805988311768,0
1996-05-02,7.6875,7.6875,7.6875,7.6875,5.3175740242004395,10000
1996-05-03,7.6875,7.6875,7.6875,7.6875,5.3175740242004395,0
1996-05-06,7.6875,7.6875,7.6875,7.6875,5.3175740242004395,0
1996-05-07,7.6875,7.6875,7.6875,7.6875,5.3175740242004395,0
1996-05-08,7.8125,7.8125,7.8125,7.8125,5.40403938293457,30000
1996-05-09,7.8125,7.8125,7.8125,7.8125,5.40403938293457,0
1996-05-10,7.8125,7.8125,7.8125,7.8125,5.40403938293457,0
1996-05-13,7.75,7.75,7.75,7.75,5.360805988311768,2000
1996-05-14,7.875,8.0625,7.875,7.875,5.447271823883057,110600
1996-05-15,8.0,8.0,8.0,8.0,5.53373384475708,50000
1996-05-16,8.0,8.0,8.0,8.0,5.53373384475708,0
