Date,Open,High,Low,Close,Adj Close,Volume
1988-07-22,0.0,10.0,10.0,10.0,0.3116362690925598,337500
1988-07-25,0.0,10.0,10.0,10.0,0.3116362690925598,47300
1988-07-26,0.0,10.0,10.0,10.0,0.3116362690925598,63600
1988-07-27,0.0,10.0,10.0,10.0,0.3116362690925598,51600
1988-07-28,0.0,10.0,10.0,10.0,0.3116362690925598,15300
1988-07-29,0.0,10.0,10.0,10.0,0.3116362690925598,4900
1988-08-01,0.0,10.0,10.0,10.0,0.3116362690925598,28900
1988-08-02,0.0,10.0,10.0,10.0,0.3116362690925598,15200
1988-08-03,0.0,10.0,10.0,10.0,0.3116362690925598,69300
1988-08-04,0.0,10.0,10.0,10.0,0.3116362690925598,9000
1988-08-05,0.0,10.0,10.0,10.0,0.3116362690925598,15800
1988-08-08,0.0,10.0,10.0,10.0,0.3116362690925598,54100
1988-08-09,0.0,10.0,10.0,10.0,0.3116362690925598,29000
1988-08-10,0.0,10.0,10.0,10.0,0.3116362690925598,29000
1988-08-11,0.0,10.0,10.0,10.0,0.3116362690925598,20500
1988-08-12,0.0,10.0,9.875,10.0,0.3116362690925598,196100
1988-08-15,0.0,10.0,9.875,10.0,0.3116362690925598,13800
1988-08-16,0.0,10.0,9.875,9.875,0.3077407479286194,16700
1988-08-17,0.0,10.0,9.875,9.875,0.3077407479286194,37900
1988-08-18,0.0,9.875,9.875,9.875,0.3077407479286194,97300
1988-08-19,0.0,10.0,9.875,9.875,0.3077407479286194,18400
1988-08-22,0.0,10.0,9.875,9.875,0.3077407479286194,18500
1988-08-23,0.0,10.0,9.875,10.0,0.3116362690925598,56600
1988-08-24,0.0,10.0,9.875,9.875,0.3077407479286194,12600
1988-08-25,0.0,9.875,9.75,9.75,0.30601441860198975,7000
1988-08-26,0.0,9.875,9.875,9.875,0.3099377751350403,400
1988-08-29,0.0,9.875,9.875,9.875,0.3099377751350403,47200
1988-08-30,0.0,9.875,9.875,9.875,0.3099377751350403,13400
1988-08-31,0.0,9.875,9.875,9.875,0.3099377751350403,14500
1988-09-01,0.0,10.0,9.875,9.875,0.3099377751350403,10400
1988-09-02,0.0,10.0,9.875,9.875,0.3099377751350403,8500
1988-09-06,0.0,10.0,9.875,9.875,0.3099377751350403,12800
1988-09-07,0.0,10.0,9.875,9.875,0.3099377751350403,19000
1988-09-08,0.0,9.875,9.875,9.875,0.3099377751350403,19600
1988-09-09,0.0,10.0,9.875,9.875,0.3099377751350403,22600
1988-09-12,0.0,9.875,9.875,9.875,0.3099377751350403,13600
1988-09-13,0.0,10.0,9.75,9.75,0.30601441860198975,47300
1988-09-14,0.0,9.875,9.625,9.75,0.30601441860198975,17300
1988-09-15,0.0,9.75,9.625,9.75,0.30601441860198975,11600
1988-09-16,0.0,9.625,9.5,9.5,0.2981681227684021,8400
1988-09-19,0.0,9.5,9.25,9.375,0.2942444980144501,31100
1988-09-20,0.0,9.25,9.0,9.25,0.29032137989997864,38500
1988-09-21,0.0,9.25,9.125,9.125,0.2863985598087311,7800
1988-09-22,0.0,9.375,9.125,9.375,0.2942444980144501,13800
1988-09-23,0.0,9.375,9.125,9.25,0.29032137989997864,30300
1988-09-26,0.0,9.375,9.125,9.125,0.2888968586921692,10100
1988-09-27,0.0,9.25,9.125,9.25,0.2928540110588074,20700
1988-09-28,0.0,9.25,9.125,9.25,0.2928540110588074,11100
1988-09-29,0.0,9.25,9.125,9.25,0.2928540110588074,9600
1988-09-30,0.0,9.25,9.125,9.25,0.2928540110588074,22700
1988-10-03,0.0,9.25,9.125,9.125,0.2888968586921692,14700
1988-10-04,0.0,9.375,9.25,9.375,0.2968112826347351,8700
1988-10-05,9.25,9.5,9.25,9.375,0.2968112826347351,31900
1988-10-06,9.375,9.375,9.25,9.25,0.2928540110588074,5200
1988-10-07,9.25,9.375,9.25,9.375,0.2968112826347351,4900
1988-10-10,9.5,9.625,9.5,9.625,0.30472660064697266,5500
1988-10-11,9.625,9.625,9.5,9.5,0.3007693886756897,6400
