Date,Open,High,Low,Close,Adj Close,Volume
1991-03-14,29.75,30.25,29.75,29.75,8.903253555297852,2524700
1991-03-15,29.5,29.5,28.25,28.25,8.454352378845215,1023500
1991-03-18,28.0,28.0,27.5,27.75,8.304717063903809,800100
1991-03-19,27.25,27.25,26.625,26.75,8.005446434020996,1073300
1991-03-20,26.75,28.0,26.625,27.625,8.267309188842773,1015400
1991-03-21,28.125,28.625,28.125,28.5,8.529170989990234,1093800
1991-03-22,28.25,28.25,27.875,28.125,8.41694450378418,607000
1991-03-25,28.125,29.375,27.875,29.0,8.67880630493164,2384700
1991-03-26,28.875,28.875,28.375,28.625,8.566579818725586,1860500
1991-03-27,28.625,28.875,28.5,28.625,8.566579818725586,1204100
1991-03-28,28.625,28.875,28.25,28.625,8.566579818725586,818900
1991-04-01,28.625,28.875,28.5,28.625,8.566579818725586,463700
1991-04-02,29.0,30.0,29.0,30.0,8.978072166442871,1069900
1991-04-03,30.0,30.25,29.75,29.75,8.903253555297852,929700
1991-04-04,29.75,30.25,29.75,30.125,9.015481948852539,602900
1991-04-05,30.0,30.0,29.25,29.375,8.791029930114746,708500
1991-04-08,29.375,29.5,29.125,29.375,8.791029930114746,451400
1991-04-09,29.375,29.625,29.125,29.125,8.716214179992676,463400
1991-04-10,29.125,29.375,28.875,29.25,8.753623008728027,435200
1991-04-11,29.375,30.125,29.375,29.875,8.940665245056152,483000
1991-04-12,29.875,30.0,29.375,29.625,8.865849494934082,808500
1991-04-15,29.625,30.0,29.625,29.875,9.319681167602539,451800
1991-04-16,29.625,29.625,29.125,29.5,9.202698707580566,834600
1991-04-17,29.5,29.5,29.125,29.375,9.163702011108398,996400
1991-04-18,29.0,29.0,28.5,28.5,8.890741348266602,598000
1991-04-19,28.25,28.25,27.375,27.75,8.65677547454834,714100
1991-04-22,27.5,27.5,27.0,27.125,8.461804389953613,684700
1991-04-23,27.25,27.75,27.25,27.625,8.617780685424805,676800
1991-04-24,27.5,27.5,27.0,27.375,8.53979206085205,587800
1991-04-25,27.375,27.375,27.0,27.375,8.53979206085205,577100
1991-04-26,27.25,27.25,27.0,27.25,8.500800132751465,581800
1991-04-29,27.25,27.75,27.0,27.375,8.53979206085205,601900
1991-04-30,27.375,27.875,27.375,27.875,8.695769309997559,659900
1991-05-01,27.875,28.75,27.625,28.625,8.929737091064453,679200
1991-05-02,28.625,28.875,28.375,28.875,9.007726669311523,1419500
1991-05-03,28.75,28.75,28.375,28.625,8.929737091064453,445500
1991-05-06,28.625,28.75,28.375,28.625,8.929737091064453,393700
1991-05-07,28.75,29.125,28.75,29.0,9.046719551086426,464000
1991-05-08,28.875,28.875,28.625,28.875,9.007726669311523,448800
1991-05-09,28.875,29.25,28.625,29.25,9.124709129333496,571900
1991-05-10,29.0,29.0,28.0,28.125,8.773758888244629,333600
1991-05-13,28.125,28.25,28.0,28.125,8.773758888244629,341000
1991-05-14,27.75,27.75,27.5,27.5,8.57878589630127,251400
1991-05-15,27.5,27.875,27.0,27.375,8.53979206085205,915600
1991-05-16,27.375,27.5,27.0,27.25,8.500800132751465,416500
1991-05-17,26.75,26.75,25.875,26.0,8.110852241516113,732700
1991-05-20,26.0,26.375,25.875,25.875,8.071857452392578,550900
1991-05-21,26.125,26.75,26.125,26.625,8.305821418762207,467200
1991-05-22,26.625,26.875,26.5,26.625,8.305821418762207,237300
1991-05-23,26.875,27.375,26.875,27.25,8.500800132751465,273500
1991-05-24,27.25,27.375,27.125,27.25,8.500800132751465,166700
1991-05-28,27.375,27.875,27.375,27.75,8.65677547454834,378800
1991-05-29,27.75,27.75,27.5,27.625,8.617780685424805,278600
1991-05-30,27.625,27.625,26.875,27.0,8.422804832458496,309300
1991-05-31,27.0,27.25,26.375,26.5,8.266830444335938,467900
1991-06-03,26.5,26.625,26.125,26.375,8.227831840515137,550800
1991-06-04,26.375,26.5,26.0,26.25,8.188840866088867,460100
1991-06-05,26.25,26.75,26.25,26.375,8.227831840515137,293100
1991-06-06,26.375,26.625,26.25,26.375,8.227831840515137,234400
1991-06-07,26.25,26.25,25.125,25.625,7.993865013122559,449000
1991-06-10,25.625,25.875,25.5,25.75,8.032866477966309,335400
1991-06-11,25.75,26.0,25.75,25.875,8.071857452392578,425700
1991-06-12,25.875,25.875,25.375,25.5,7.954877853393555,396600
1991-06-13,25.5,25.625,25.25,25.5,7.954877853393555,309000
1991-06-14,25.5,25.625,25.25,25.375,7.915882110595703,356300
1991-06-17,25.375,25.875,24.625,24.625,7.681909561157227,625400
1991-06-18,24.625,24.75,24.375,24.625,7.681909561157227,602400
1991-06-19,24.625,25.125,24.625,25.0,7.798898220062256,542400
1991-06-20,25.0,25.125,24.75,24.875,7.759899139404297,335100
1991-06-21,24.875,24.875,24.625,24.625,7.681909561157227,222000
1991-06-24,24.625,24.75,24.375,24.375,7.60392427444458,252600
1991-06-25,24.375,24.75,24.375,24.625,7.681909561157227,310000
1991-06-26,24.375,24.375,24.0,24.0,7.486940860748291,339400
1991-06-27,24.25,24.5,24.25,24.375,7.60392427444458,208000
1991-06-28,23.75,23.75,23.375,23.625,7.36995792388916,423000
1991-07-01,23.75,24.375,23.75,24.375,7.60392427444458,255800
1991-07-02,24.375,24.375,24.0,24.125,7.525934219360352,322200
1991-07-03,24.125,24.125,23.875,24.0,7.486940860748291,128800
1991-07-05,24.5,24.75,24.5,24.75,7.720904350280762,127300
1991-07-08,24.75,24.75,24.5,24.75,7.720904350280762,202700
1991-07-09,24.75,25.25,24.5,24.625,7.681909561157227,180200
1991-07-10,24.75,25.125,24.75,25.0,7.798898220062256,255700
1991-07-11,25.0,25.375,24.625,24.75,7.720904350280762,247800
1991-07-12,25.5,26.25,25.5,26.25,8.188840866088867,408200
1991-07-15,26.25,26.25,26.0,26.125,8.149848937988281,195000
1991-07-16,26.25,26.5,26.25,26.375,8.227831840515137,260100
1991-07-17,26.375,26.625,26.0,26.375,8.227831840515137,248000
1991-07-18,26.375,26.75,26.375,26.5,8.266830444335938,295700
1991-07-19,26.5,26.625,25.75,25.875,8.071857452392578,310000
1991-07-22,25.875,26.25,25.875,26.125,8.149848937988281,348800
1991-07-23,26.375,26.75,26.375,26.625,8.305821418762207,401400
1991-07-24,26.625,26.875,26.5,26.625,8.305821418762207,314100
1991-07-25,26.625,26.625,26.25,26.5,8.266830444335938,99400
1991-07-26,26.5,26.625,26.25,26.25,8.188840866088867,232600
1991-07-29,26.25,26.5,26.125,26.375,8.227831840515137,97200
1991-07-30,26.375,26.625,26.375,26.625,8.305821418762207,110200
1991-07-31,26.625,26.75,26.5,26.5,8.266830444335938,427700
