Date,Open,High,Low,Close,Adj Close,Volume
1999-03-08,19.75,19.75,19.75,19.75,8.143087387084961,900
1999-03-09,19.75,19.75,19.75,19.75,8.143087387084961,0
1999-03-10,19.75,19.75,19.75,19.75,8.143087387084961,0
1999-03-11,19.0,19.0,19.0,19.0,7.833857536315918,200
1999-03-12,19.0,19.0,19.0,19.0,7.833857536315918,0
1999-03-15,19.75,19.75,19.75,19.75,8.143087387084961,100
1999-03-16,19.75,19.75,19.75,19.75,8.143087387084961,0
1999-03-17,19.75,19.75,19.75,19.75,8.143087387084961,0
1999-03-18,19.75,19.75,19.75,19.75,8.143087387084961,0
1999-03-19,19.75,19.75,19.75,19.75,8.143087387084961,0
1999-03-22,19.75,19.75,19.75,19.75,8.143087387084961,0
1999-03-23,19.75,19.75,19.75,19.75,8.143087387084961,0
1999-03-24,19.0,19.0,19.0,19.0,7.833857536315918,1200
1999-03-25,19.0,19.0,19.0,19.0,7.833857536315918,400
1999-03-26,19.0,19.0,19.0,19.0,7.833857536315918,0
1999-03-29,19.0,19.25,19.0,19.25,7.936935901641846,1300
1999-03-30,19.25,19.25,19.25,19.25,7.936935901641846,0
1999-03-31,19.25,19.25,19.25,19.25,7.936935901641846,0
1999-04-01,19.25,19.25,19.25,19.25,7.936935901641846,0
1999-04-05,19.0,19.0,19.0,19.0,7.833857536315918,100
1999-04-06,19.0,19.0,19.0,19.0,7.833857536315918,0
1999-04-07,19.0,19.0,19.0,19.0,7.833857536315918,0
1999-04-08,19.0,19.0,19.0,19.0,7.833857536315918,1700
1999-04-09,19.0,19.0,19.0,19.0,7.833857536315918,1100
1999-04-12,19.0,19.0,19.0,19.0,7.833857536315918,0
1999-04-13,19.0,19.0,19.0,19.0,7.833857536315918,200
1999-04-14,19.0,19.0,19.0,19.0,7.833857536315918,1200
1999-04-15,18.0,18.0,18.0,18.0,7.42155122756958,1200
1999-04-16,19.0,19.0,19.0,19.0,7.833857536315918,400
1999-04-19,19.0,19.0,19.0,19.0,7.833857536315918,0
1999-04-20,19.0,19.0,19.0,19.0,7.833857536315918,200
1999-04-21,19.0,19.0,19.0,19.0,7.833857536315918,0
1999-04-22,19.0,19.0,19.0,19.0,7.833857536315918,0
1999-04-23,19.0,19.0,19.0,19.0,7.833857536315918,0
1999-04-26,19.0,19.0,19.0,19.0,7.833857536315918,0
1999-04-27,17.625,17.625,17.625,17.625,7.266932010650635,2200
1999-04-28,17.625,17.625,17.625,17.625,7.266932010650635,0
1999-04-29,17.5,18.0,17.5,18.0,7.42155122756958,300
1999-04-30,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-03,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-04,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-05,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-06,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-07,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-10,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-11,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-12,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-13,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-14,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-17,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-18,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-19,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-20,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-21,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-24,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-25,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-26,18.0,18.0,18.0,18.0,7.42155122756958,0
1999-05-27,18.0,18.0,18.0,18.0,7.479727745056152,0
1999-05-28,18.0,18.25,18.0,18.25,7.583611011505127,3600
1999-06-01,17.5,17.5,17.5,17.5,7.271955490112305,200
1999-06-02,17.25,17.25,17.25,17.25,7.16807222366333,300
1999-06-03,18.25,18.25,18.0,18.0,7.479727745056152,1500
1999-06-04,18.0,18.0,18.0,18.0,7.479727745056152,0
1999-06-07,18.0,18.0,18.0,18.0,7.479727745056152,0
1999-06-08,18.0,18.0,18.0,18.0,7.479727745056152,0
1999-06-09,17.25,17.25,17.25,17.25,7.16807222366333,700
1999-06-10,17.25,17.75,17.25,17.625,7.3238959312438965,14900
1999-06-11,17.5,17.5,17.5,17.5,7.271955490112305,200
1999-06-14,17.5,17.5,17.5,17.5,7.271955490112305,0
1999-06-15,17.5,17.5,17.5,17.5,7.271955490112305,0
1999-06-16,17.5,17.5,17.5,17.5,7.271955490112305,0
1999-06-17,17.5,17.5,17.5,17.5,7.271955490112305,0
1999-06-18,17.5,17.5,17.5,17.5,7.271955490112305,0
1999-06-21,17.0,17.0,17.0,17.0,7.064184188842773,400
1999-06-22,17.0,17.0,17.0,17.0,7.064184188842773,0
1999-06-23,17.25,17.25,17.25,17.25,7.16807222366333,2100
1999-06-24,17.0,17.125,17.0,17.125,7.116124629974365,3000
1999-06-25,17.125,17.125,17.125,17.125,7.116124629974365,0
1999-06-28,17.125,17.125,17.125,17.125,7.116124629974365,0
1999-06-29,17.0,17.5,17.0,17.5,7.271955490112305,300
1999-06-30,17.5,17.5,17.5,17.5,7.271955490112305,0
1999-07-01,17.5,17.5,17.5,17.5,7.271955490112305,0
1999-07-02,17.5,17.5,17.5,17.5,7.271955490112305,0
1999-07-06,17.5,17.5,17.5,17.5,7.271955490112305,0
1999-07-07,17.5,17.5,17.5,17.5,7.271955490112305,0
1999-07-08,17.5,17.5,17.5,17.5,7.271955490112305,0
1999-07-09,17.5,17.5,17.5,17.5,7.271955490112305,0
1999-07-12,17.0,17.0,17.0,17.0,7.064184188842773,500
1999-07-13,17.0,17.0,17.0,17.0,7.064184188842773,0
1999-07-14,17.0,17.0,17.0,17.0,7.064184188842773,100
1999-07-15,17.0,17.0,17.0,17.0,7.064184188842773,0
1999-07-16,17.0,17.0,17.0,17.0,7.064184188842773,0
1999-07-19,17.0,17.0,17.0,17.0,7.064184188842773,0
1999-07-20,17.0,17.0,17.0,17.0,7.064184188842773,0
1999-07-21,17.0,17.0,17.0,17.0,7.064184188842773,0
1999-07-22,17.625,17.625,17.0,17.0,7.064184188842773,2700
1999-07-23,17.0,17.0,17.0,17.0,7.064184188842773,0
1999-07-26,17.0,17.0,17.0,17.0,7.064184188842773,0
1999-07-27,17.0,17.0,17.0,17.0,7.064184188842773,0
1999-07-28,17.0,17.0,17.0,17.0,7.064184188842773,200
1999-07-29,17.5,17.5,17.5,17.5,7.271955490112305,100
1999-07-30,17.5,17.5,17.5,17.5,7.271955490112305,0
1999-08-02,17.5,17.5,17.5,17.5,7.271955490112305,0
1999-08-03,17.5,17.5,17.5,17.5,7.271955490112305,0
1999-08-04,17.0,17.0,16.5,16.5,6.856411457061768,1600
1999-08-05,17.5,17.5,17.5,17.5,7.271955490112305,400
1999-08-06,16.0,16.0,16.0,16.0,6.648643493652344,200
1999-08-09,16.0,16.0,16.0,16.0,6.648643493652344,0
1999-08-10,16.0,16.0,16.0,16.0,6.648643493652344,0
1999-08-11,16.0,16.0,16.0,16.0,6.648643493652344,0
1999-08-12,16.0,16.0,16.0,16.0,6.648643493652344,0
1999-08-13,16.0,16.0,16.0,16.0,6.648643493652344,0
1999-08-16,16.0,16.0,16.0,16.0,6.648643493652344,0
1999-08-17,16.0,16.0,16.0,16.0,6.648643493652344,0
1999-08-18,16.0,16.0,16.0,16.0,6.648643493652344,0
1999-08-19,16.0,16.0,16.0,16.0,6.648643493652344,0
1999-08-20,16.0,16.0,16.0,16.0,6.648643493652344,1000
1999-08-23,16.0,16.0,16.0,16.0,6.648643493652344,0
1999-08-24,16.0,16.0,16.0,16.0,6.648643493652344,0
1999-08-25,16.0,16.0,16.0,16.0,6.648643493652344,0
1999-08-26,16.0,16.0,16.0,16.0,6.648643493652344,0
1999-08-27,16.0,16.0,16.0,16.0,6.648643493652344,0
1999-08-30,16.0,16.0,16.0,16.0,6.707332611083984,0
1999-08-31,16.0,16.0,16.0,16.0,6.707332611083984,0
1999-09-01,16.0,16.0,16.0,16.0,6.707332611083984,0
1999-09-02,16.0,16.0,16.0,16.0,6.707332611083984,100
1999-09-03,16.0,16.0,16.0,16.0,6.707332611083984,0
1999-09-07,16.0,16.0,16.0,16.0,6.707332611083984,0
1999-09-08,16.0,16.0,16.0,16.0,6.707332611083984,0
1999-09-09,16.0,16.0,16.0,16.0,6.707332611083984,0
1999-09-10,16.0,16.0,16.0,16.0,6.707332611083984,0
1999-09-13,16.0,16.0,16.0,16.0,6.707332611083984,0
1999-09-14,16.0,16.0,16.0,16.0,6.707332611083984,0
1999-09-15,16.0,16.0,16.0,16.0,6.707332611083984,0
1999-09-16,16.0,16.0,16.0,16.0,6.707332611083984,200
