Date,Open,High,Low,Close,Adj Close,Volume
1987-09-23,0.0,9.875,9.75,9.75,1.0972208976745605,5195600
1987-09-24,9.75,9.75,9.75,9.75,1.0972208976745605,2312000
1987-09-25,9.75,9.75,9.75,9.75,1.0972208976745605,984800
1987-09-28,9.75,9.75,9.75,9.75,1.0972208976745605,1666000
1987-09-29,9.75,9.875,9.75,9.875,1.1112879514694214,457300
1987-09-30,9.75,9.875,9.75,9.75,1.0972208976745605,371500
1987-10-01,9.75,9.75,9.125,9.5,1.069087266921997,397600
1987-10-02,9.25,9.375,9.125,9.25,1.040953516960144,177500
1987-10-05,9.25,9.25,9.0,9.125,1.0268864631652832,195400
1987-10-06,9.125,9.25,9.0,9.25,1.040953516960144,144600
1987-10-07,9.25,9.25,9.125,9.25,1.040953516960144,137600
1987-10-08,9.25,9.25,9.125,9.125,1.0268864631652832,99600
1987-10-09,9.25,9.25,9.125,9.125,1.0268864631652832,102800
1987-10-12,9.125,9.125,9.0,9.0,1.0128189325332642,103500
1987-10-13,9.125,9.125,8.75,9.0,1.0128189325332642,182400
1987-10-14,9.0,9.0,8.875,9.0,1.0128189325332642,65100
1987-10-15,9.0,9.0,8.875,9.0,1.0128189325332642,109200
1987-10-16,9.0,9.0,8.375,8.625,0.9706185460090637,103100
1987-10-19,8.0,8.0,7.375,8.0,0.900283694267273,249900
1987-10-20,8.0,8.625,8.0,8.375,0.942484974861145,222300
1987-10-21,8.75,8.875,8.5,8.625,0.9706185460090637,187200
1987-10-22,8.0,8.875,8.0,8.625,0.9706185460090637,147200
1987-10-23,8.75,8.875,8.625,8.875,0.998752236366272,114000
1987-10-26,8.75,8.875,8.375,8.375,0.942484974861145,108800
1987-10-27,8.75,8.75,8.5,8.75,0.9846857786178589,79000
1987-10-28,8.875,8.875,8.375,8.5,0.9565518498420715,107700
1987-10-29,8.625,8.75,8.375,8.75,0.9846857786178589,92800
1987-10-30,8.75,8.75,8.5,8.75,0.9846857786178589,62700
1987-11-02,8.75,8.875,8.75,8.75,0.9846857786178589,79800
1987-11-03,8.75,8.875,8.625,8.75,0.9915986061096191,63700
1987-11-04,8.875,9.0,8.75,9.0,1.01992928981781,56700
1987-11-05,9.0,9.375,8.875,9.375,1.062426209449768,170600
1987-11-06,9.375,9.375,9.125,9.375,1.062426209449768,100600
1987-11-09,9.375,9.375,9.125,9.25,1.0482614040374756,54100
1987-11-10,9.125,9.25,9.125,9.25,1.0482614040374756,48300
1987-11-11,9.125,9.25,9.125,9.25,1.0482614040374756,46000
1987-11-12,9.25,9.25,9.125,9.25,1.0482614040374756,52900
1987-11-13,9.0,9.25,9.0,9.125,1.0340956449508667,48800
1987-11-16,9.0,9.125,9.0,9.125,1.0340956449508667,95000
1987-11-17,9.25,9.25,9.125,9.25,1.0482614040374756,107200
1987-11-18,9.125,9.25,9.125,9.25,1.0482614040374756,69800
1987-11-19,9.25,9.25,9.125,9.25,1.0482614040374756,121200
1987-11-20,9.25,9.375,9.125,9.375,1.062426209449768,41200
1987-11-23,9.25,9.25,9.0,9.0,1.01992928981781,62600
1987-11-24,9.125,9.125,9.0,9.125,1.0340956449508667,87500
1987-11-25,9.0,9.25,9.0,9.125,1.0340956449508667,45800
1987-11-27,9.25,9.375,9.25,9.375,1.062426209449768,10800
1987-11-30,9.25,9.25,9.0,9.125,1.0340956449508667,55900
1987-12-01,9.0,9.125,8.875,8.875,1.0125329494476318,50800
1987-12-02,9.0,9.0,9.0,9.0,1.0267937183380127,61100
1987-12-03,9.125,9.125,8.875,9.0,1.0267937183380127,75000
1987-12-04,9.0,9.0,8.875,8.875,1.0125329494476318,60700
1987-12-07,9.0,9.125,8.75,9.0,1.0267937183380127,48100
1987-12-08,9.0,9.0,8.75,9.0,1.0267937183380127,57000
1987-12-09,9.0,9.0,8.75,8.75,0.9982717633247375,67100
1987-12-10,8.75,8.875,8.625,8.75,0.9982717633247375,101700
1987-12-11,8.75,8.875,8.625,8.75,0.9982717633247375,52000
1987-12-14,8.875,8.875,8.625,8.875,1.0125329494476318,54800
1987-12-15,8.875,9.125,8.75,9.125,1.0410552024841309,78800
1987-12-16,9.0,9.125,9.0,9.125,1.0410552024841309,76700
1987-12-17,9.25,9.25,9.125,9.25,1.0553159713745117,96100
1987-12-18,9.25,9.25,9.125,9.125,1.0410552024841309,75200
1987-12-21,9.25,9.25,9.0,9.125,1.0410552024841309,85600
1987-12-22,9.125,9.125,8.875,8.875,1.0125329494476318,69100
1987-12-23,8.875,9.125,8.875,9.125,1.0410552024841309,86100
1987-12-24,9.125,9.125,9.0,9.0,1.0267937183380127,32400
1987-12-28,9.0,9.125,8.875,9.0,1.0267937183380127,88900
1987-12-29,9.125,9.125,8.875,9.125,1.0410552024841309,74300
1987-12-30,9.0,9.125,9.0,9.125,1.0410552024841309,86700
1987-12-31,9.125,9.25,9.0,9.0,1.0267937183380127,145400
1988-01-04,9.0,9.25,9.0,9.0,1.0339165925979614,31800
1988-01-05,9.125,9.375,9.125,9.375,1.076995849609375,47700
1988-01-06,9.375,9.375,9.25,9.375,1.076995849609375,74200
1988-01-07,9.375,9.5,9.25,9.5,1.0913560390472412,49600
1988-01-08,9.375,9.375,9.25,9.25,1.0626364946365356,74300
1988-01-11,9.25,9.375,9.125,9.375,1.076995849609375,30800
1988-01-12,9.375,9.375,9.25,9.375,1.076995849609375,70900
1988-01-13,9.375,9.375,9.25,9.375,1.076995849609375,48000
1988-01-14,9.375,9.375,9.25,9.375,1.076995849609375,59200
1988-01-15,9.375,9.5,9.375,9.375,1.076995849609375,146800
1988-01-18,9.5,9.5,9.375,9.5,1.0913560390472412,59800
1988-01-19,9.5,9.625,9.375,9.5,1.0913560390472412,98600
1988-01-20,9.375,9.625,9.375,9.625,1.1057164669036865,62000
1988-01-21,9.5,9.75,9.5,9.75,1.1200758218765259,71100
1988-01-22,9.875,9.875,9.625,9.625,1.1057164669036865,74800
1988-01-25,9.75,9.75,9.5,9.5,1.0913560390472412,131900
1988-01-26,9.5,9.625,9.375,9.5,1.0913560390472412,75100
1988-01-27,9.625,9.875,9.5,9.625,1.1057164669036865,146100
1988-01-28,9.75,9.875,9.625,9.875,1.1344358921051025,83300
1988-01-29,9.75,9.875,9.75,9.875,1.1344358921051025,79300
1988-02-01,9.875,9.875,9.75,9.75,1.1200758218765259,78700
1988-02-02,9.75,10.0,9.75,9.875,1.1344358921051025,71100
1988-02-03,10.0,10.0,9.875,9.875,1.1344358921051025,74700
1988-02-04,9.875,10.0,9.875,9.875,1.1344358921051025,93100
