Date,Open,High,Low,Close,Adj Close,Volume
1992-07-17,12.0,12.0,11.625,11.875,1.9134750366210938,180600
1992-07-20,11.875,12.0,11.875,11.875,1.9134750366210938,96800
1992-07-21,12.0,12.0,11.875,12.0,1.9336179494857788,73300
1992-07-22,12.0,12.0,11.875,11.875,1.9134750366210938,84300
1992-07-23,11.875,12.0,11.875,12.0,1.9336179494857788,43500
1992-07-24,12.0,12.0,11.875,12.0,1.9336179494857788,73600
1992-07-27,12.0,12.0,11.875,11.875,1.9134750366210938,37500
1992-07-28,11.875,12.0,11.875,12.0,1.9336179494857788,84100
1992-07-29,12.0,12.25,11.875,12.25,1.9739000797271729,119800
1992-07-30,12.125,12.25,12.125,12.25,1.9739000797271729,85100
1992-07-31,12.125,12.25,12.125,12.25,1.9739000797271729,103900
1992-08-03,12.25,12.375,12.125,12.25,1.9739000797271729,37800
1992-08-04,12.25,12.375,12.25,12.375,1.9940426349639893,65000
1992-08-05,12.375,12.375,12.25,12.375,1.9940426349639893,49500
1992-08-06,12.375,12.375,12.25,12.375,1.9940426349639893,77500
1992-08-07,12.375,12.5,12.375,12.5,2.01418399810791,36200
1992-08-10,12.375,12.5,12.375,12.375,1.9940426349639893,59200
1992-08-11,12.5,12.5,12.375,12.375,1.9940426349639893,60100
1992-08-12,12.375,12.5,12.375,12.5,2.01418399810791,79100
1992-08-13,12.5,12.5,12.375,12.375,1.9940426349639893,33900
1992-08-14,12.5,12.5,12.375,12.375,1.9940426349639893,104700
1992-08-17,12.25,12.375,12.25,12.25,1.9739000797271729,39600
1992-08-18,12.375,12.375,12.25,12.25,1.9739000797271729,56900
1992-08-19,12.375,12.375,12.25,12.25,1.9739000797271729,47300
1992-08-20,12.25,12.375,12.25,12.375,1.9940426349639893,27400
1992-08-21,12.375,12.375,12.25,12.375,1.9940426349639893,55700
1992-08-24,12.375,12.375,12.25,12.25,1.9739000797271729,15700
1992-08-25,12.375,12.375,12.25,12.375,1.9940426349639893,102800
1992-08-26,12.375,12.375,12.25,12.375,1.9940426349639893,55000
1992-08-27,12.375,12.375,12.25,12.375,1.9940426349639893,41300
1992-08-28,12.375,12.375,12.25,12.25,1.9739000797271729,65200
1992-08-31,12.375,12.375,12.25,12.375,1.9940426349639893,17700
1992-09-01,12.25,12.25,12.125,12.25,1.9739000797271729,16800
