Date,Open,High,Low,Close,Adj Close,Volume
1992-11-04,15.0,15.0,15.0,15.0,15.0,2200
1992-11-05,15.125,15.125,15.125,15.125,15.125,200
1992-11-06,15.0,15.0,15.0,15.0,15.0,200
1992-11-09,15.0,15.0,15.0,15.0,15.0,1700
1992-11-10,15.25,15.25,15.125,15.25,15.25,1400
1992-11-11,15.25,15.25,15.25,15.25,15.25,1200
1992-11-12,15.25,15.25,15.25,15.25,15.25,700
1992-11-13,15.0,15.0,15.0,15.0,15.0,5100
1992-11-16,15.125,15.125,15.0,15.0,15.0,1600
1992-11-17,15.25,15.25,15.25,15.25,15.25,4300
1992-11-18,15.0,15.25,15.0,15.25,15.25,6600
1992-11-19,15.25,15.25,15.25,15.25,15.25,2400
1992-11-20,15.25,15.25,15.25,15.25,15.25,100
1992-11-23,15.125,15.125,15.125,15.125,15.125,300
1992-11-24,15.25,15.25,15.25,15.25,15.25,400
1992-11-25,15.25,15.25,15.25,15.25,15.25,0
1992-11-27,15.0,15.0,15.0,15.0,15.0,13600
1992-11-30,15.0,15.0,15.0,15.0,15.0,200
1992-12-01,15.125,15.125,15.0,15.0,15.0,1000
1992-12-02,15.25,15.25,15.25,15.25,15.25,300
1992-12-03,15.125,15.125,15.125,15.125,15.125,300
1992-12-04,15.125,15.125,15.125,15.125,15.125,500
1992-12-07,15.125,15.125,15.125,15.125,15.125,100
1992-12-08,15.25,15.25,15.125,15.125,15.125,2800
1992-12-09,15.0,15.125,15.0,15.125,15.125,2600
1992-12-10,15.125,15.125,15.0,15.0,15.0,3500
1992-12-11,15.0,15.0,15.0,15.0,15.0,0
1992-12-14,15.0,15.0,15.0,15.0,15.0,1300
1992-12-15,15.25,15.25,15.25,15.25,15.25,1500
1992-12-16,15.375,15.375,15.375,15.375,15.375,1200
1992-12-17,15.375,15.375,15.125,15.125,15.125,8600
1992-12-18,15.25,15.25,15.0,15.0,15.0,3100
1992-12-21,15.0,15.0,15.0,15.0,15.0,0
1992-12-22,15.125,15.125,15.125,15.125,15.125,600
1992-12-23,15.0,15.125,15.0,15.125,15.125,3300
1992-12-24,15.125,15.125,15.125,15.125,15.125,0
1992-12-28,15.125,15.125,15.125,15.125,15.125,0
1992-12-29,15.125,15.25,15.125,15.25,15.25,1800
1992-12-30,15.25,15.25,15.25,15.25,15.25,0
1992-12-31,15.375,15.375,15.375,15.375,15.375,600
1993-01-04,15.125,15.125,15.0,15.0,15.0,19000
1993-01-05,15.25,15.375,15.25,15.375,15.375,1900
1993-01-06,15.25,15.25,15.0,15.125,15.125,4000
1993-01-07,15.0,15.375,15.0,15.125,15.125,4900
1993-01-08,15.25,15.25,15.25,15.25,15.25,300
1993-01-11,15.25,15.375,15.25,15.375,15.375,2400
1993-01-12,15.125,15.375,15.125,15.125,15.125,5600
1993-01-13,15.25,15.375,15.125,15.375,15.375,4500
1993-01-14,15.125,15.25,15.125,15.25,15.25,5200
1993-01-15,15.0,15.125,15.0,15.125,15.125,8400
1993-01-18,15.125,15.25,15.125,15.25,15.25,2000
1993-01-19,15.375,15.375,15.375,15.375,15.375,1500
1993-01-20,15.375,15.375,15.125,15.25,15.25,8700
1993-01-21,15.125,15.375,15.125,15.375,15.375,4000
1993-01-22,15.375,15.375,15.375,15.375,15.375,1200
1993-01-25,15.375,15.375,15.125,15.125,15.125,1500
1993-01-26,15.125,15.25,15.125,15.25,15.25,1300
1993-01-27,15.125,15.25,15.125,15.25,15.25,2100
1993-01-28,15.125,15.375,15.125,15.25,15.25,1600
1993-01-29,15.5,15.5,15.125,15.125,15.125,5200
1993-02-01,15.375,15.375,15.125,15.375,15.375,2500
1993-02-02,15.25,15.25,15.125,15.25,15.25,2000
1993-02-03,15.375,15.375,15.25,15.25,15.25,3200
1993-02-04,15.25,15.25,15.25,15.25,15.25,0
1993-02-05,15.375,15.5,15.375,15.375,15.375,7000
1993-02-08,15.25,15.25,15.125,15.25,15.25,5600
1993-02-09,15.375,15.375,15.375,15.375,15.375,2000
1993-02-10,15.375,15.375,15.375,15.375,15.375,4800
1993-02-11,15.375,15.75,15.375,15.625,15.625,16500
1993-02-12,15.75,15.875,15.75,15.75,15.75,10700
1993-02-16,15.75,15.75,15.625,15.75,15.75,3000
1993-02-17,15.625,15.75,15.625,15.75,15.75,16900
1993-02-18,16.0,16.0,15.625,15.75,15.75,18100
1993-02-19,15.75,15.75,15.5,15.5,15.5,6200
1993-02-22,15.5,15.5,15.375,15.5,15.5,4600
1993-02-23,15.625,16.0,15.625,16.0,16.0,15500
1993-02-24,15.875,16.125,15.875,16.125,16.125,1800
1993-02-25,16.0,16.25,16.0,16.25,16.25,20500
1993-02-26,16.125,16.875,16.0,16.625,16.625,35800
1993-03-01,16.75,16.75,16.375,16.375,16.375,23200
1993-03-02,16.5,16.5,15.875,15.875,15.875,27300
1993-03-03,15.875,15.875,15.875,15.875,15.875,0
1993-03-04,16.125,16.25,15.875,15.875,15.875,7600
1993-03-05,16.0,16.25,16.0,16.25,16.25,3700
1993-03-08,16.125,16.375,16.0,16.0,16.0,19200
1993-03-09,16.125,16.125,16.0,16.0,16.0,7600
1993-03-10,16.0,16.125,16.0,16.0,16.0,4400
1993-03-11,16.0,16.125,16.0,16.125,16.125,7500
1993-03-12,16.125,16.125,16.125,16.125,16.125,1100
1993-03-15,15.875,15.875,15.875,15.875,15.875,3100
1993-03-16,16.0,16.125,16.0,16.0,16.0,2000
1993-03-17,16.0,16.0,16.0,16.0,16.0,5200
1993-03-18,16.0,16.125,16.0,16.125,16.125,1100
1993-03-19,16.0,16.0,15.75,15.75,15.75,5000
1993-03-22,15.875,16.125,15.875,15.875,15.875,3800
1993-03-23,15.875,15.875,15.75,15.875,15.875,4100
1993-03-24,15.75,16.0,15.75,16.0,16.0,5300
1993-03-25,16.0,16.0,16.0,16.0,16.0,0
1993-03-26,15.75,15.875,15.625,15.875,15.875,5900
1993-03-29,15.875,15.875,15.875,15.875,15.875,1600
1993-03-30,15.875,15.875,15.375,15.375,15.375,8900
1993-03-31,15.625,15.75,15.625,15.625,15.625,2400
1993-04-01,15.75,15.75,15.375,15.375,15.375,3300
1993-04-02,15.25,15.375,15.125,15.125,15.125,4300
1993-04-05,15.0,15.0,14.875,14.875,14.875,3200
1993-04-06,15.0,15.25,15.0,15.25,15.25,1800
1993-04-07,15.125,15.375,15.0,15.375,15.375,5500
1993-04-08,15.625,15.75,15.625,15.75,15.75,1800
1993-04-12,16.0,16.125,16.0,16.125,16.125,5800
1993-04-13,15.75,16.125,15.75,15.875,15.875,8500
1993-04-14,15.875,16.0,15.75,16.0,16.0,4100
1993-04-15,16.25,16.25,15.75,15.875,15.875,8300
1993-04-16,15.875,16.0,15.875,15.875,15.875,3500
1993-04-19,15.75,16.25,15.75,16.0,16.0,7300
1993-04-20,16.125,16.125,15.25,15.375,15.375,8000
1993-04-21,15.5,15.5,15.25,15.375,15.375,5400
1993-04-22,15.25,15.75,15.25,15.75,15.75,7700
1993-04-23,15.625,15.625,15.375,15.5,15.5,6000
1993-04-26,15.375,15.625,15.375,15.625,15.625,1900
1993-04-27,15.5,15.5,15.125,15.25,15.25,5700
1993-04-28,15.25,15.5,15.125,15.125,15.125,8500
1993-04-29,15.0,15.5,15.0,15.5,15.5,4800
1993-04-30,15.625,15.625,15.375,15.625,15.625,5300
1993-05-03,15.5,15.625,15.5,15.5,15.5,1800
1993-05-04,15.625,15.875,15.625,15.875,15.875,4000
1993-05-05,15.875,15.875,15.875,15.875,15.875,500
1993-05-06,15.75,15.875,15.625,15.625,15.625,1300
1993-05-07,15.625,16.0,15.625,15.875,15.875,4600
1993-05-10,15.875,16.25,15.875,16.0,16.0,12800
1993-05-11,16.0,16.0,15.625,15.625,15.625,20100
1993-05-12,15.25,15.75,15.25,15.625,15.625,7100
1993-05-13,15.5,15.75,15.5,15.5,15.5,2600
1993-05-14,15.5,15.5,15.25,15.375,15.375,4600
1993-05-17,15.5,15.5,15.5,15.5,15.5,1600
1993-05-18,15.375,15.5,15.375,15.5,15.5,500
1993-05-19,15.375,15.375,15.25,15.375,15.375,3100
1993-05-20,15.125,15.375,15.125,15.375,15.375,3800
1993-05-21,15.375,15.375,15.375,15.375,15.375,400
1993-05-24,15.25,15.5,15.25,15.5,15.5,2700
