Date,Open,High,Low,Close,Adj Close,Volume
1992-05-21,15.0,15.0,15.0,15.0,3.5846102237701416,94000
1992-05-22,15.0,15.0,15.0,15.0,3.5846102237701416,26700
1992-05-26,15.0,15.0,15.0,15.0,3.5846102237701416,14000
1992-05-27,15.0,15.125,15.0,15.125,3.614485025405884,14700
1992-05-28,15.0,15.0,15.0,15.0,3.5846102237701416,9400
1992-05-29,15.125,15.125,15.0,15.0,3.5846102237701416,3600
1992-06-01,15.0,15.125,15.0,15.0,3.5846102237701416,10300
1992-06-02,15.0,15.0,15.0,15.0,3.5846102237701416,1800
1992-06-03,15.0,15.125,15.0,15.0,3.5846102237701416,11200
1992-06-04,15.0,15.0,15.0,15.0,3.5846102237701416,2800
1992-06-05,15.0,15.0,15.0,15.0,3.5846102237701416,8000
1992-06-08,15.0,15.125,15.0,15.125,3.614485025405884,3800
1992-06-09,15.0,15.125,15.0,15.0,3.5846102237701416,80600
1992-06-10,15.0,15.125,15.0,15.0,3.5846102237701416,41200
1992-06-11,15.0,15.125,15.0,15.0,3.5846102237701416,5800
1992-06-12,15.125,15.125,15.0,15.0,3.5846102237701416,7900
1992-06-15,14.875,14.875,14.75,14.875,3.5547380447387695,191900
1992-06-16,14.75,15.0,14.75,14.875,3.5547380447387695,40400
1992-06-17,14.75,14.875,14.75,14.875,3.5547380447387695,58000
1992-06-18,14.875,14.875,14.75,14.75,3.524866819381714,52800
1992-06-19,14.75,14.875,14.75,14.875,3.5547380447387695,1100
1992-06-22,14.75,14.875,14.75,14.875,3.5547380447387695,20900
1992-06-23,14.75,14.875,14.75,14.75,3.524866819381714,5600
1992-06-24,14.875,14.875,14.75,14.75,3.524866819381714,11700
1992-06-25,14.875,14.875,14.75,14.75,3.524866819381714,9900
1992-06-26,14.75,14.875,14.75,14.875,3.5547380447387695,4900
1992-06-29,14.75,14.75,14.75,14.75,3.524866819381714,8700
1992-06-30,14.75,14.875,14.75,14.875,3.5547380447387695,5400
1992-07-01,14.75,14.75,14.75,14.75,3.524866819381714,7100
1992-07-02,14.875,14.875,14.75,14.75,3.524866819381714,8200
1992-07-06,14.75,14.875,14.75,14.875,3.5547380447387695,15700
1992-07-07,14.875,14.875,14.875,14.875,3.5547380447387695,1900
