Date,Open,High,Low,Close,Adj Close,Volume
1994-10-14,37.75,37.875,37.0,37.25,21.391841888427734,1559900
1994-10-17,36.75,36.75,35.5,35.5,20.386852264404297,564100
1994-10-18,35.75,35.75,35.625,35.75,20.530424118041992,191200
1994-10-19,35.625,35.625,35.0,35.0,20.099720001220703,174100
1994-10-20,35.0,35.0,34.75,35.0,20.099720001220703,96000
1994-10-21,35.125,35.375,35.125,35.375,20.315074920654297,10800
1994-10-24,35.125,35.375,35.0,35.0,20.099720001220703,67100
1994-10-25,35.125,35.125,35.0,35.125,20.17150115966797,97400
1994-10-26,34.875,34.875,33.875,33.875,19.45365333557129,60300
1994-10-27,32.5,32.75,31.0,31.0,17.802614212036133,172600
1994-10-28,31.5,32.875,31.5,32.875,18.879377365112305,92200
1994-10-31,32.625,33.125,32.625,32.875,18.879377365112305,37000
1994-11-01,32.875,33.375,32.875,33.0,18.95116424560547,28900
1994-11-02,32.75,33.125,32.75,33.125,19.022947311401367,21300
1994-11-03,33.0,33.25,33.0,33.25,19.09473419189453,5300
1994-11-04,33.25,33.25,32.875,33.0,18.95116424560547,80500
1994-11-07,33.125,33.5,33.125,33.5,19.23830223083496,26500
1994-11-08,33.5,34.375,33.5,34.0,19.525442123413086,6900
1994-11-09,34.5,35.25,34.5,35.0,20.099720001220703,16300
1994-11-10,35.125,35.125,34.75,34.75,19.95615577697754,7900
1994-11-11,34.875,34.875,34.75,34.875,20.027938842773438,23000
1994-11-14,35.0,35.5,35.0,35.5,20.386852264404297,38100
1994-11-15,34.75,34.875,34.75,34.875,20.027938842773438,15200
1994-11-16,34.625,34.625,33.875,33.875,19.45365333557129,39700
1994-11-17,33.875,33.875,33.625,33.75,19.38187026977539,19700
1994-11-18,33.625,34.5,33.625,34.375,19.74079704284668,36000
1994-11-21,34.375,34.375,34.0,34.0,19.525442123413086,20000
1994-11-22,33.25,33.375,32.0,32.0,18.376888275146484,43500
1994-11-23,31.5,31.5,30.75,31.25,17.946176528930664,55800
1994-11-25,31.5,32.75,31.5,32.75,18.807598114013672,24400
1994-11-28,32.5,32.5,32.125,32.25,18.52045440673828,5300
1994-11-29,32.375,32.625,32.375,32.375,18.592241287231445,41500
1994-11-30,32.125,32.25,31.75,31.75,18.233312606811523,30100
1994-12-01,31.75,31.75,31.0,31.0,17.802614212036133,11100
1994-12-02,29.5,29.5,29.0,29.0,16.654052734375,125300
1994-12-05,29.75,29.75,29.625,29.75,17.084754943847656,34500
1994-12-06,29.75,29.75,29.25,29.25,16.797622680664062,32800
1994-12-07,29.25,29.25,29.0,29.0,16.654052734375,14000
1994-12-08,28.0,28.0,26.75,26.875,15.433714866638184,38100
1994-12-09,26.625,26.625,25.25,25.5,14.644072532653809,73100
1994-12-12,25.5,25.875,25.5,25.625,14.715863227844238,179300
1994-12-13,25.625,26.0,25.0,25.6875,14.75175952911377,68000
1994-12-14,26.25,26.875,26.25,26.75,15.361926078796387,174000
1994-12-15,27.25,28.5,27.25,28.25,16.22334098815918,65200
1994-12-16,28.625,29.0,28.625,29.0,16.654052734375,29000
1994-12-19,28.75,28.75,28.375,28.5,16.366910934448242,53300
1994-12-20,28.375,28.625,28.25,28.375,16.295124053955078,13800
1994-12-21,28.875,29.5,28.875,29.5,16.941194534301758,30000
1994-12-22,29.5,30.5,29.5,30.5,17.515472412109375,76100
1994-12-23,30.5,30.625,30.375,30.375,17.469457626342773,35000
1994-12-27,30.375,30.375,30.25,30.375,17.469457626342773,27600
1994-12-28,30.125,30.125,29.0,29.625,17.038110733032227,10300
1994-12-29,29.625,29.625,29.375,29.375,16.89433479309082,2200
1994-12-30,29.375,29.5,29.0,29.25,16.822439193725586,13600
1995-01-03,29.25,29.25,28.5,28.5,16.391098022460938,5900
1995-01-04,28.0,28.0,26.5,26.75,15.384627342224121,48400
1995-01-05,26.0,26.0,25.625,25.75,14.809503555297852,80800
1995-01-06,26.5,27.0,26.5,26.5,15.240846633911133,41600
1995-01-09,26.0,26.125,25.875,26.0,14.95328140258789,25500
1995-01-10,25.75,26.0,25.75,26.0,14.95328140258789,24600
1995-01-11,26.25,26.5,26.25,26.375,15.168953895568848,37300
1995-01-12,26.375,26.5,26.25,26.25,15.097060203552246,40700
1995-01-13,25.75,26.0,25.75,25.875,14.881388664245605,68600
1995-01-16,25.5,25.5,25.0,25.125,14.450044631958008,97900
1995-01-17,25.375,25.375,25.25,25.375,14.593831062316895,24400
1995-01-18,25.5,25.75,25.375,25.5,14.665717124938965,40500
1995-01-19,25.375,25.625,25.0,25.0,14.378157615661621,44100
1995-01-20,25.125,25.125,24.875,25.0,14.378157615661621,28900
1995-01-23,24.0,24.25,21.5,21.625,12.437103271484375,397100
1995-01-24,22.25,22.875,21.75,22.0,12.652775764465332,145800
1995-01-25,22.25,22.875,22.25,22.75,13.084123611450195,115800
1995-01-26,23.0,23.125,23.0,23.125,13.29979419708252,62800
1995-01-27,23.25,23.25,23.0,23.125,13.29979419708252,111500
1995-01-30,23.25,23.375,23.25,23.25,13.371681213378906,48000
1995-01-31,23.375,23.375,23.125,23.125,13.29979419708252,14000
1995-02-01,23.25,23.5,23.25,23.375,13.443575859069824,10300
1995-02-02,23.375,23.625,23.375,23.625,13.587357521057129,13400
1995-02-03,23.625,24.25,23.5,24.125,13.874917984008789,65900
1995-02-06,24.0,24.25,24.0,24.125,13.874917984008789,35300
1995-02-07,24.5,24.75,24.5,24.5,14.090593338012695,19000
1995-02-08,24.5,26.25,24.5,25.875,14.881388664245605,75300
1995-02-09,26.5,27.25,26.5,27.0,15.52840805053711,68600
1995-02-10,26.75,27.0,26.625,27.0,15.52840805053711,41300
1995-02-13,27.0,27.5,27.0,27.375,15.744075775146484,7200
1995-02-14,27.125,27.125,27.0,27.125,15.600296020507812,19800
1995-02-15,26.875,26.875,26.0,26.375,15.168953895568848,30200
1995-02-16,26.0,26.125,26.0,26.125,15.025176048278809,11000
1995-02-17,26.0,26.25,26.0,26.25,15.097060203552246,13500
1995-02-21,26.125,26.375,26.0,26.25,15.097060203552246,51800
1995-02-22,26.125,26.375,26.125,26.25,15.097060203552246,14400
1995-02-23,26.25,26.25,26.25,26.25,15.097060203552246,18300
