Date,Open,High,Low,Close,Adj Close,Volume
1995-10-13,7.0,9.25,7.0,8.75,8.75,286500
1995-10-16,9.25,10.5,8.5,10.0,10.0,377000
1995-10-17,10.5,10.5,8.75,9.75,9.75,135000
1995-10-18,9.75,9.75,8.4375,9.0,9.0,93300
1995-10-19,9.125,9.25,8.75,9.0,9.0,34500
1995-10-20,9.125,9.125,8.875,8.875,8.875,30300
1995-10-23,8.625,9.0,8.625,8.625,8.625,15800
1995-10-24,8.75,8.875,8.5,8.625,8.625,49900
1995-10-25,8.625,8.75,8.25,8.25,8.25,50700
1995-10-26,8.5,8.5,7.375,7.375,7.375,46600
1995-10-27,7.75,8.0,7.375,7.75,7.75,23700
1995-10-30,8.0,8.375,7.75,8.125,8.125,35400
1995-10-31,8.375,8.375,8.0,8.0,8.0,16200
1995-11-01,8.25,8.25,7.75,8.125,8.125,4300
1995-11-02,7.75,8.125,7.75,8.125,8.125,21000
1995-11-03,8.125,8.125,7.75,7.875,7.875,21300
1995-11-06,8.125,8.125,7.875,7.875,7.875,7800
1995-11-07,8.125,8.125,7.875,7.875,7.875,5300
1995-11-08,8.125,8.125,7.875,7.875,7.875,7500
1995-11-09,7.875,8.125,7.875,7.875,7.875,2800
1995-11-10,7.875,8.125,7.75,8.125,8.125,21200
1995-11-13,7.75,8.125,7.75,7.875,7.875,8200
1995-11-14,8.125,8.125,7.75,8.125,8.125,9500
1995-11-15,8.125,8.125,7.75,7.75,7.75,12900
1995-11-16,7.75,8.0,7.75,7.75,7.75,5400
1995-11-17,7.75,8.0,7.75,8.0,8.0,2100
1995-11-20,7.75,8.0,7.75,8.0,8.0,7000
1995-11-21,7.75,8.0,7.625,7.625,7.625,14600
1995-11-22,8.0,8.0,7.5,8.0,8.0,16800
1995-11-24,8.0,8.0,7.625,8.0,8.0,11000
1995-11-27,7.625,8.125,7.625,8.125,8.125,12700
1995-11-28,8.125,8.125,7.75,7.75,7.75,5600
1995-11-29,7.75,8.125,7.75,8.0,8.0,12100
1995-11-30,7.75,8.125,7.75,8.125,8.125,13100
1995-12-01,8.125,8.125,7.875,8.125,8.125,20000
1995-12-04,8.125,8.125,7.875,8.125,8.125,4500
1995-12-05,8.125,8.125,7.875,7.875,7.875,19100
1995-12-06,8.125,8.125,7.875,7.875,7.875,45800
1995-12-07,7.875,8.125,7.875,8.0,8.0,11700
1995-12-08,7.875,8.125,7.875,7.875,7.875,14500
1995-12-11,7.875,8.125,7.875,8.0,8.0,5000
1995-12-12,7.875,8.0625,7.875,8.0625,8.0625,5500
1995-12-13,8.0625,8.125,7.875,7.9375,7.9375,18800
1995-12-14,7.9375,8.25,7.9375,8.25,8.25,29400
1995-12-15,8.375,8.375,8.0,8.0,8.0,12500
1995-12-18,8.0,8.375,8.0,8.0,8.0,10800
1995-12-19,8.0,8.375,7.875,7.875,7.875,16400
1995-12-20,7.75,8.375,7.75,7.75,7.75,6000
1995-12-21,7.75,8.375,7.75,8.375,8.375,11300
1995-12-22,7.75,8.375,7.75,8.375,8.375,2400
1995-12-26,7.75,8.5,7.75,8.375,8.375,9900
1995-12-27,8.375,8.5,8.0,8.25,8.25,8000
1995-12-28,8.25,8.5,8.0,8.125,8.125,6900
1995-12-29,8.125,8.125,7.875,7.875,7.875,20800
1996-01-02,7.875,7.9375,7.875,7.875,7.875,2800
1996-01-03,7.875,7.9375,7.875,7.875,7.875,10300
1996-01-04,7.875,7.9375,7.875,7.875,7.875,7400
1996-01-05,7.875,8.625,7.875,8.5,8.5,43600
1996-01-08,8.375,8.375,8.125,8.25,8.25,10100
1996-01-09,8.625,8.875,8.25,8.875,8.875,47500
1996-01-10,8.875,9.0,8.625,8.9375,8.9375,31900
1996-01-11,9.0,9.75,8.75,9.75,9.75,28000
1996-01-12,9.75,9.75,9.125,9.125,9.125,16500
1996-01-15,9.75,9.75,9.125,9.125,9.125,6000
1996-01-16,9.125,9.625,9.0,9.5,9.5,14500
1996-01-17,9.5,9.5,9.0,9.0,9.0,5800
1996-01-18,9.0,9.75,9.0,9.0,9.0,27500
1996-01-19,9.0,9.75,9.0,9.0,9.0,9100
1996-01-22,9.75,9.875,9.0,9.875,9.875,12100
1996-01-23,9.875,9.875,9.0,9.0,9.0,32600
1996-01-24,9.75,9.875,9.0,9.125,9.125,11900
1996-01-25,9.5,9.5,9.125,9.125,9.125,7400
1996-01-26,9.125,9.75,9.125,9.125,9.125,6300
1996-01-29,9.125,9.75,9.125,9.125,9.125,4000
1996-01-30,9.75,9.75,9.125,9.125,9.125,2100
1996-01-31,9.75,9.75,9.125,9.5,9.5,11300
1996-02-01,9.125,9.5,9.125,9.125,9.125,9000
1996-02-02,9.5,9.5,9.125,9.125,9.125,500
1996-02-05,9.125,9.25,9.125,9.25,9.25,7700
1996-02-06,9.5,9.5,9.125,9.5,9.5,3200
1996-02-07,9.125,9.5,9.125,9.125,9.125,8900
1996-02-08,9.5,9.5,9.125,9.5,9.5,10200
1996-02-09,9.5,9.5,9.125,9.5,9.5,12900
1996-02-12,9.125,9.5,9.125,9.5,9.5,14700
1996-02-13,9.5,9.875,9.125,9.875,9.875,63200
1996-02-14,9.875,10.0,9.5,10.0,10.0,64300
1996-02-15,10.0,10.0,9.625,9.625,9.625,23600
1996-02-16,10.0,10.125,9.75,10.125,10.125,27500
1996-02-20,10.25,10.25,9.5,9.75,9.75,38400
1996-02-21,9.5,9.75,9.125,9.5,9.5,10700
1996-02-22,9.375,9.5,9.125,9.25,9.25,16400
1996-02-23,9.5,9.5,9.25,9.5,9.5,9300
1996-02-26,9.25,9.375,9.25,9.375,9.375,17000
1996-02-27,9.375,9.375,9.25,9.375,9.375,7000
1996-02-28,9.25,9.375,9.25,9.375,9.375,4500
1996-02-29,9.25,9.5,9.25,9.5,9.5,2800
