Date,Open,High,Low,Close,Adj Close,Volume
1992-01-31,12.25,12.25,10.9375,11.125,6.456965923309326,19977200
1992-02-03,11.0,11.1875,10.5625,10.8125,6.275587558746338,4132000
1992-02-04,10.75,10.875,10.625,10.625,6.1667656898498535,1891000
1992-02-05,11.0,11.375,10.875,11.0625,6.420690536499023,3734600
1992-02-06,11.125,11.25,11.0,11.125,6.456965923309326,1074200
1992-02-07,11.125,11.25,10.875,11.125,6.456965923309326,916200
1992-02-10,11.0,11.25,10.5,10.5,6.094213485717773,1289800
1992-02-11,10.5,11.375,10.5,11.0,6.384415626525879,1285600
1992-02-12,11.0,11.375,11.0,11.125,6.456965923309326,1226000
1992-02-13,11.0,11.25,10.5,10.625,6.1667656898498535,786400
1992-02-14,10.5,11.0,10.5,10.875,6.311863899230957,584600
1992-02-18,11.0,11.0,10.375,10.375,6.021664142608643,918400
1992-02-19,10.375,10.625,10.375,10.625,6.1667656898498535,977800
1992-02-20,10.375,10.625,10.375,10.5,6.094213485717773,846200
1992-02-21,10.375,10.5,10.125,10.125,5.87656307220459,664000
1992-02-24,10.375,10.625,10.125,10.5,6.094213485717773,791200
1992-02-25,10.5,10.75,10.375,10.4375,6.057938575744629,431400
1992-02-26,10.5,10.625,10.25,10.3125,5.985391139984131,391600
1992-02-27,10.375,10.5,10.25,10.3125,5.985391139984131,919400
1992-02-28,10.25,10.75,10.25,10.625,6.1667656898498535,647400
1992-03-02,10.5,10.875,10.5,10.75,6.23931360244751,539600
1992-03-03,10.875,10.875,10.5,10.75,6.23931360244751,398000
1992-03-04,10.625,10.625,10.125,10.1875,5.912839889526367,434600
1992-03-05,9.875,10.0,9.375,9.5,5.513813495635986,2622600
1992-03-06,9.75,10.125,9.5,9.75,5.6589131355285645,1099600
1992-03-09,9.75,9.875,9.5,9.875,5.731463432312012,101200
1992-03-10,10.0,10.125,9.625,9.625,5.586362838745117,775400
1992-03-11,9.75,9.75,9.375,9.4375,5.477537631988525,1485600
1992-03-12,9.625,9.625,9.125,9.25,5.368711471557617,508200
1992-03-13,9.25,9.375,9.25,9.25,5.368711471557617,761000
1992-03-16,9.25,9.375,9.1875,9.3125,5.404987812042236,390600
1992-03-17,9.125,9.375,9.125,9.375,5.441262245178223,163200
1992-03-18,9.125,9.25,9.0,9.125,5.296160697937012,357200
1992-03-19,9.25,9.25,9.0,9.25,5.368711471557617,167800
1992-03-20,9.25,9.25,9.0,9.25,5.368711471557617,109600
1992-03-23,9.375,9.375,9.125,9.25,5.368711471557617,159400
1992-03-24,9.25,9.375,9.125,9.125,5.296160697937012,257000
1992-03-25,9.25,9.25,8.875,9.25,5.368711471557617,861000
1992-03-26,9.375,9.75,9.125,9.6875,5.622636318206787,529400
1992-03-27,9.75,9.75,9.375,9.5,5.513813495635986,368600
1992-03-30,9.625,9.625,9.375,9.375,5.441262245178223,127800
1992-03-31,9.375,9.5,9.25,9.25,5.368711471557617,229200
1992-04-01,9.125,9.375,9.125,9.375,5.441262245178223,63400
1992-04-02,9.125,9.375,8.875,9.125,5.296160697937012,227400
1992-04-03,8.875,9.125,8.875,9.0,5.223611831665039,396000
1992-04-06,8.875,9.0,8.75,8.875,5.151061534881592,115800
1992-04-07,8.75,8.8125,8.5,8.5,4.933410167694092,346800
1992-04-08,8.375,8.5,7.75,8.25,4.78831148147583,1018600
1992-04-09,8.5,9.0,8.25,8.75,5.0785112380981445,692200
1992-04-10,9.125,9.125,8.75,9.0,5.223611831665039,106400
1992-04-13,8.75,8.875,8.625,8.625,5.005960464477539,521000
1992-04-14,8.75,9.125,8.625,9.125,5.296160697937012,428600
1992-04-15,9.125,9.125,8.875,9.125,5.296160697937012,540600
1992-04-16,9.125,9.125,8.875,9.0,5.223611831665039,99800
1992-04-20,8.875,9.125,8.75,8.8125,5.114788055419922,167400
1992-04-21,8.75,9.0,8.625,8.625,5.005960464477539,181000
1992-04-22,8.625,8.75,8.5,8.625,5.005960464477539,78200
1992-04-23,8.5,8.75,8.5,8.75,5.0785112380981445,252600
1992-04-24,8.5,8.75,8.1875,8.1875,4.752035617828369,372800
1992-04-27,8.25,8.25,8.0,8.0,4.643209934234619,344200
1992-04-28,8.0,8.25,7.9375,8.25,4.78831148147583,182400
1992-04-29,8.25,8.75,8.125,8.625,5.005960464477539,337400
1992-04-30,8.5,8.75,8.375,8.375,4.860860347747803,818200
1992-05-01,8.5,8.625,8.5,8.5,4.933410167694092,1881600
1992-05-04,8.625,8.625,8.5,8.5,4.933410167694092,631400
1992-05-05,8.5625,8.75,8.5,8.5,4.933410167694092,276400
1992-05-06,8.625,8.75,8.5,8.5,4.933410167694092,706200
1992-05-07,8.5,8.625,8.25,8.5,4.933410167694092,578600
1992-05-08,8.25,8.5,8.25,8.4375,4.897136688232422,59400
1992-05-11,8.5,8.625,8.375,8.5625,4.969686031341553,689800
1992-05-12,8.5,8.625,8.375,8.5,4.933410167694092,483000
1992-05-13,8.5,8.5,8.375,8.375,4.860860347747803,14800
1992-05-14,8.5,8.5,8.25,8.25,4.78831148147583,449200
1992-05-15,8.25,8.5,8.25,8.25,4.78831148147583,327200
1992-05-18,8.5,8.5,8.25,8.25,4.78831148147583,170600
1992-05-19,8.25,8.5,8.125,8.125,4.71575927734375,202200
1992-05-20,8.125,8.375,8.125,8.125,4.71575927734375,271600
1992-05-21,8.375,8.375,8.125,8.375,4.860860347747803,127400
1992-05-22,8.125,8.375,8.125,8.125,4.71575927734375,97200
1992-05-26,8.25,8.25,7.875,8.125,4.71575927734375,188200
1992-05-27,8.125,8.125,7.875,7.875,4.570659637451172,117600
1992-05-28,8.125,8.125,7.875,7.875,4.570659637451172,330200
1992-05-29,8.0,8.125,7.75,8.0,4.643209934234619,162600
1992-06-01,7.75,8.0,7.625,8.0,4.643209934234619,69400
1992-06-02,7.75,8.0,7.625,7.75,4.498110771179199,49200
1992-06-03,7.875,8.0,7.75,8.0,4.643209934234619,124800
1992-06-04,8.0,8.125,7.75,8.0,4.643209934234619,129800
1992-06-05,8.0,8.125,7.875,8.0,4.643209934234619,176200
1992-06-08,8.0,8.125,7.75,7.875,4.570659637451172,112200
1992-06-09,7.875,7.875,7.5,7.5,4.353010177612305,325800
1992-06-10,7.75,7.75,7.5,7.5,4.353010177612305,207800
1992-06-11,7.625,7.625,7.5,7.5625,4.389286041259766,111000
1992-06-12,7.75,7.75,7.5,7.5,4.353010177612305,43800
1992-06-15,7.75,7.75,7.125,7.375,4.280460357666016,534200
1992-06-16,7.375,7.5,7.125,7.125,4.1353583335876465,194800
1992-06-17,7.125,7.25,7.0,7.125,4.1353583335876465,544600
1992-06-18,7.125,7.125,6.75,6.875,3.990257978439331,656000
1992-06-19,6.75,7.0,6.75,7.0,4.062811374664307,3014400
1992-06-22,6.9375,7.0,6.875,7.0,4.062811374664307,424600
1992-06-23,7.0,7.0,6.875,7.0,4.062811374664307,247200
1992-06-24,6.9375,7.25,6.875,7.125,4.1353583335876465,395200
1992-06-25,7.125,7.25,7.0,7.0,4.062811374664307,320000
1992-06-26,6.875,7.125,6.875,7.0,4.062811374664307,577000
1992-06-29,7.125,7.125,7.0,7.0625,4.099083423614502,197600
1992-06-30,7.125,7.25,7.0,7.25,4.207911014556885,464800
1992-07-01,7.25,8.0,7.25,7.75,4.498110771179199,611000
1992-07-02,8.0,8.0,7.875,8.0,4.643209934234619,330400
1992-07-06,8.0,8.0,7.875,7.9375,4.606936931610107,212000
1992-07-07,8.0,8.0,7.875,7.875,4.570659637451172,119200
1992-07-08,7.75,7.875,7.25,7.25,4.207911014556885,380800
1992-07-09,7.25,7.75,7.25,7.5625,4.389286041259766,133200
