Date,Open,High,Low,Close,Adj Close,Volume
1986-11-06,7.0625,7.15625,6.875,7.0,3.423711061477661,17902800
1986-11-07,7.0,7.0,6.84375,6.96875,3.4084231853485107,6288000
1986-11-10,6.90625,6.90625,6.75,6.78125,3.316715955734253,3060000
1986-11-11,6.78125,6.875,6.78125,6.875,3.362572193145752,1130000
1986-11-12,6.875,6.9375,6.8125,6.875,3.362572193145752,2082800
1986-11-13,6.84375,6.84375,6.8125,6.8125,3.3320024013519287,891200
1986-11-14,6.8125,6.875,6.78125,6.875,3.362572193145752,952000
1986-11-17,6.8125,6.84375,6.75,6.75,3.3014330863952637,1055200
1986-11-18,6.75,6.78125,6.59375,6.625,3.2402946949005127,2426400
1986-11-19,6.625,6.625,6.5,6.53125,3.1944429874420166,2026000
1986-11-20,6.59375,6.65625,6.53125,6.625,3.2402946949005127,3253600
1986-11-21,6.71875,6.71875,6.65625,6.71875,3.286149263381958,639600
1986-11-24,6.6875,6.71875,6.65625,6.65625,3.2555794715881348,660000
1986-11-25,6.65625,6.71875,6.5625,6.6875,3.2708637714385986,1080000
1986-11-26,6.6875,6.75,6.5625,6.6875,3.2708637714385986,963200
1986-11-28,6.6875,6.71875,6.65625,6.71875,3.286149263381958,521600
1986-12-01,6.6875,6.75,6.6875,6.75,3.3014330863952637,662000
1986-12-02,6.75,6.875,6.75,6.875,3.362572193145752,1161200
1986-12-03,6.875,7.0625,6.875,6.96875,3.4084231853485107,1210400
1986-12-04,6.96875,6.96875,6.875,6.90625,3.3778531551361084,1446400
1986-12-05,6.875,6.90625,6.84375,6.84375,3.347287178039551,737600
1986-12-08,6.8125,6.84375,6.75,6.75,3.3014330863952637,703600
1986-12-09,6.75,6.78125,6.75,6.75,3.3014330863952637,444800
1986-12-10,6.75,6.78125,6.71875,6.71875,3.286149263381958,902400
1986-12-11,6.75,6.78125,6.59375,6.6875,3.2708637714385986,550400
1986-12-12,6.6875,6.75,6.65625,6.75,3.3014330863952637,356800
1986-12-15,6.71875,6.75,6.65625,6.71875,3.286149263381958,521200
1986-12-16,6.6875,6.71875,6.625,6.65625,3.2555794715881348,835600
1986-12-17,6.65625,6.65625,6.625,6.625,3.2402946949005127,803600
1986-12-18,6.625,6.65625,6.53125,6.59375,3.2250094413757324,1108000
1986-12-19,6.5,6.625,6.5,6.625,3.2402946949005127,556000
1986-12-22,6.5625,6.5625,6.5,6.5625,3.2097272872924805,1456000
1986-12-23,6.53125,6.5625,6.5,6.5625,3.2097272872924805,574000
1986-12-24,6.6875,6.6875,6.5,6.53125,3.1944429874420166,322400
1986-12-26,6.5,6.5625,6.5,6.5625,3.2097272872924805,486000
1986-12-29,6.53125,6.53125,6.46875,6.53125,3.1944429874420166,693200
1986-12-30,6.53125,6.5625,6.4375,6.5625,3.2097272872924805,910000
1986-12-31,6.5,6.71875,6.5,6.71875,3.286149263381958,841600
1987-01-02,6.6875,6.8125,6.625,6.8125,3.3320024013519287,264800
1987-01-05,6.8125,6.96875,6.8125,6.9375,3.393141031265259,668400
1987-01-06,6.875,6.96875,6.84375,6.96875,3.4084231853485107,554400
1987-01-07,6.9375,7.15625,6.9375,7.15625,3.500131368637085,748400
1987-01-08,7.125,7.5625,7.09375,7.5625,3.69882869720459,596800
1987-01-09,7.53125,7.75,7.40625,7.625,3.7293968200683594,759600
1987-01-12,7.5625,7.78125,7.5625,7.625,3.7293968200683594,1196800
1987-01-13,7.5625,7.59375,7.34375,7.40625,3.6224048137664795,504800
1987-01-14,7.46875,7.59375,7.4375,7.5,3.6682589054107666,611600
1987-01-15,7.46875,7.59375,7.46875,7.5,3.6682589054107666,463200
1987-01-16,7.53125,7.65625,7.4375,7.625,3.7293968200683594,412800
1987-01-19,7.5625,7.625,7.5,7.5625,3.69882869720459,161600
1987-01-20,7.59375,7.625,7.53125,7.59375,3.726433515548706,642000
1987-01-21,7.5625,7.625,7.53125,7.53125,3.6957602500915527,505200
1987-01-22,7.53125,7.53125,7.375,7.4375,3.6497561931610107,618000
