Date,MT Close,WSJ Close,Open,High,Low,Yahoo Close,Volume,Close
1914-12-12,54.62,,,,,,,54.62
1914-12-14,56.76,,,,,,,56.76
1914-12-15,55.07,,,,,,,55.07
1914-12-16,55.35,,,,,,,55.35
1914-12-17,55.36,,,,,,,55.36
1914-12-18,55.09,,,,,,,55.09
1914-12-19,55.09,,,,,,,55.09
1914-12-21,54.46,,,,,,,54.46
1914-12-22,54.42,,,,,,,54.42
1914-12-23,53.46,,,,,,,53.46
1914-12-24,53.17,,,,,,,53.17
1914-12-26,53.17,,,,,,,53.17
1914-12-28,54.55,,,,,,,54.55
1914-12-29,54.58,,,,,,,54.58
1914-12-30,54.55,,,,,,,54.55
1914-12-31,54.63,,,,,,,54.63
1915-01-02,54.63,,,,,,,54.63
1915-01-04,55.44,,,,,,,55.44
1915-01-05,55.5,,,,,,,55.5
1915-01-06,55.4,,,,,,,55.4
1915-01-07,56.08,,,,,,,56.08
1915-01-08,56.55,,,,,,,56.55
1915-01-09,56.55,,,,,,,56.55
1915-01-11,57.37,,,,,,,57.37
1915-01-12,57.44,,,,,,,57.44
1915-01-13,57.35,,,,,,,57.35
1915-01-14,57.51,,,,,,,57.51
1915-01-15,57.9,,,,,,,57.9
1915-01-16,57.9,,,,,,,57.9
1915-01-18,58.12,,,,,,,58.12
1915-01-19,58.11,,,,,,,58.11
1915-01-20,58.42,,,,,,,58.42
1915-01-21,58.51,,,,,,,58.51
1915-01-22,58.21,,,,,,,58.21
1915-01-23,58.21,,,,,,,58.21
1915-01-25,58.06,,,,,,,58.06
1915-01-26,58.24,,,,,,,58.24
1915-01-27,57.07,,,,,,,57.07
1915-01-28,57.25,,,,,,,57.25
1915-01-29,56.54,,,,,,,56.54
1915-01-30,56.54,,,,,,,56.54
1915-02-01,55.59,,,,,,,55.59
1915-02-02,57.26,,,,,,,57.26
1915-02-03,56.9,,,,,,,56.9
1915-02-04,56.83,,,,,,,56.83
1915-02-05,56.16,,,,,,,56.16
1915-02-06,56.16,,,,,,,56.16
1915-02-08,56.31,,,,,,,56.31
1915-02-09,56.85,,,,,,,56.85
1915-02-10,57.05,,,,,,,57.05
1915-02-11,57.83,,,,,,,57.83
1915-02-13,57.83,,,,,,,57.83
1915-02-15,57.02,,,,,,,57.02
1915-02-16,56.64,,,,,,,56.64
1915-02-17,55.7,,,,,,,55.7
1915-02-18,55.53,,,,,,,55.53
1915-02-19,55.38,,,,,,,55.38
1915-02-20,55.38,,,,,,,55.38
1915-02-23,54.4,,,,,,,54.4
1915-02-24,54.22,,,,,,,54.22
1915-02-25,54.61,,,,,,,54.61
1915-02-26,55.02,,,,,,,55.02
1915-02-27,55.02,,,,,,,55.02
1915-03-01,55.29,,,,,,,55.29
1915-03-02,55.66,,,,,,,55.66
1915-03-03,55.88,,,,,,,55.88
1915-03-04,56.0,,,,,,,56.0
1915-03-05,56.51,,,,,,,56.51
1915-03-06,56.51,,,,,,,56.51
1915-03-08,56.98,,,,,,,56.98
1915-03-09,56.88,,,,,,,56.88
1915-03-10,56.66,,,,,,,56.66
1915-03-11,56.86,,,,,,,56.86
1915-03-12,56.66,,,,,,,56.66
1915-03-13,56.66,,,,,,,56.66
1915-03-15,56.7,,,,,,,56.7
1915-03-16,56.59,,,,,,,56.59
1915-03-17,56.67,,,,,,,56.67
1915-03-18,56.57,,,,,,,56.57
1915-03-19,56.98,,,,,,,56.98
1915-03-20,56.98,,,,,,,56.98
1915-03-22,58.1,,,,,,,58.1
1915-03-23,59.1,,,,,,,59.1
1915-03-24,59.26,,,,,,,59.26
1915-03-25,59.25,,,,,,,59.25
1915-03-26,59.51,,,,,,,59.51
1915-03-27,59.51,,,,,,,59.51
1915-03-29,60.13,,,,,,,60.13
1915-03-30,61.3,,,,,,,61.3
1915-03-31,60.83,,,,,,,60.83
1915-04-01,61.05,,,,,,,61.05
1915-04-03,61.05,,,,,,,61.05
1915-04-05,62.29,,,,,,,62.29
1915-04-06,62.45,,,,,,,62.45
1915-04-07,62.55,,,,,,,62.55
1915-04-08,63.15,,,,,,,63.15
1915-04-09,65.02,,,,,,,65.02
1915-04-10,65.02,,,,,,,65.02
1915-04-12,64.66,,,,,,,64.66
1915-04-13,65.54,,,,,,,65.54
1915-04-14,66.14,,,,,,,66.14
1915-04-15,67.42,,,,,,,67.42
1915-04-16,69.36,,,,,,,69.36
1915-04-17,69.36,,,,,,,69.36
1915-04-19,67.86,,,,,,,67.86
1915-04-20,68.64,,,,,,,68.64
1915-04-21,68.43,,,,,,,68.43
1915-04-22,68.2,,,,,,,68.2
1915-04-23,68.65,,,,,,,68.65
1915-04-24,68.65,,,,,,,68.65
1915-04-26,68.97,,,,,,,68.97
1915-04-27,68.9,,,,,,,68.9
1915-04-28,70.22,,,,,,,70.22
1915-04-29,70.95,,,,,,,70.95
1915-04-30,71.78,,,,,,,71.78
1915-05-01,71.78,,,,,,,71.78
1915-05-03,69.54,,,,,,,69.54
1915-05-04,69.58,,,,,,,69.58
1915-05-05,67.53,,,,,,,67.53
1915-05-06,68.23,,,,,,,68.23
1915-05-07,65.13,,,,,,,65.13
1915-05-08,65.13,,,,,,,65.13
1915-05-10,62.06,,,,,,,62.06
1915-05-11,64.64,,,,,,,64.64
1915-05-12,64.46,,,,,,,64.46
1915-05-13,63.01,,,,,,,63.01
1915-05-14,60.38,,,,,,,60.38
1915-05-15,60.38,,,,,,,60.38
1915-05-17,63.41,,,,,,,63.41
1915-05-18,62.7,,,,,,,62.7
1915-05-19,63.08,,,,,,,63.08
1915-05-20,63.68,,,,,,,63.68
1915-05-21,64.88,,,,,,,64.88
1915-05-22,64.88,,,,,,,64.88
1915-05-24,65.46,,,,,,,65.46
1915-05-25,64.79,,,,,,,64.79
1915-05-26,64.42,,,,,,,64.42
1915-05-27,64.95,,,,,,,64.95
1915-05-28,65.01,,,,,,,65.01
1915-05-29,65.01,,,,,,,65.01
1915-06-01,64.86,,,,,,,64.86
1915-06-02,65.72,,,,,,,65.72
1915-06-03,67.75,,,,,,,67.75
1915-06-04,67.71,,,,,,,67.71
1915-06-05,67.71,,,,,,,67.71
1915-06-07,69.21,,,,,,,69.21
1915-06-08,68.92,,,,,,,68.92
1915-06-09,67.27,,,,,,,67.27
1915-06-10,69.02,,,,,,,69.02
1915-06-11,70.55,,,,,,,70.55
1915-06-12,70.55,,,,,,,70.55
1915-06-14,70.93,,,,,,,70.93
1915-06-15,71.05,,,,,,,71.05
1915-06-16,71.3,,,,,,,71.3
1915-06-17,71.16,,,,,,,71.16
1915-06-18,70.98,,,,,,,70.98
1915-06-19,70.98,,,,,,,70.98
1915-06-21,71.83,,,,,,,71.83
1915-06-22,71.9,,,,,,,71.9
1915-06-23,71.28,,,,,,,71.28
1915-06-24,69.78,,,,,,,69.78
1915-06-25,70.23,,,,,,,70.23
1915-06-26,70.23,,,,,,,70.23
1915-06-28,70.74,,,,,,,70.74
1915-06-29,70.08,,,,,,,70.08
1915-06-30,70.06,,,,,,,70.06
1915-07-01,69.85,,,,,,,69.85
1915-07-02,69.98,,,,,,,69.98
1915-07-03,69.98,,,,,,,69.98
1915-07-06,69.87,,,,,,,69.87
1915-07-07,68.85,,,,,,,68.85
1915-07-08,68.65,,,,,,,68.65
1915-07-09,67.88,,,,,,,67.88
1915-07-10,67.88,,,,,,,67.88
1915-07-12,70.05,,,,,,,70.05
